"[Pangeos] 오므라이스&떡갈비조림, 유린만두샐러드, 맑은우동국, 단호박샐러드, 포기김치, 꼬마찐방","[Dam-A] (뚝)제육간장불고기&당면, 미역국, 야채계란찜, 호박새우젓볶음, 포기김치, 흑미밥","[Dam-A] 뚝배기순두부찌개, 제육데리야끼강정&파채, 부들어묵매콤볶음, 돌나물적채무침, 포기김치, 완두콩밥","[Dam-A] (뚝)육개장, 참치두부조림, 후랑크야채볶음, 브로콜리*초고추장, 포기김치, 차조밥","[Dam-A] (뚝)사골떡만두국, 메추리알곤약조림, 호박부추전&양념장, 무말랭이고춧잎무침, 포기김치, 쌀밥"
,"[Pangeos] 철판오꼬노미돈까스, 로제파스타, 미소장국, 알옥수수샐러드, 피클&할라피뇨, 요구르트","[Pangeos] 코던블루*베이비채소, 야채볶음밥*춘장소스, 유부장국, 고구마맛탕, 할라피뇨&피클, 새우칩","[Pangeos] 카레라이스&돈까스, 꼬치어묵국수, 마카로니샐러드, 산고추지, 포기김치, 요구르트",
~~ 추석 연휴 ~~,~~ 추석 연휴 ~~,~~ 추석 연휴 ~~,"[Dam-A] (뚝)제육매콤볶음, 시금치된장국, 두부구이&양념장, 미역줄기볶음, 포기김치, 흑미밥","[Dam-A] (뚝)참치김치찌개, 광동식탕수육, 버섯잡채, 양념깻잎지, 깍두기, 기장밥"
,,,"[Pangeos] 참치김치마요덮밥, 꼬치어묵국수, 사모사튀김, 후르츠마카로니샐러드, 피클&할라피뇨, 새우칩","[Pangeos] 오므라이스&새우가스튀김, 호박칼국수, 어묵떡볶이, 산고추지, 포기김치, 사과&요거트푸딩"
,,,"[Dam-A] (뚝)김치콩나물수제비, 미트볼조림, 야채계란찜, 오이지무침, 깍두기, 차조밥","[Dam-A] (뚝)냉이된장찌개, 제육김치볶음*온두부, 옛날소시지전, 오이미역초무침, 포기김치, 쌀밥"
,,,"[Pangeos] 철판눈꽃치즈돈가스&토마토소스, 소세지볶음밥*칠리소스, 크림스프, 감자튀김*케찹, 피클&할라피뇨, 미니호빵",
"[Dam-A] 뚝배기순두부찌개, 후르츠과일탕수육, 계란찜, 오이지무침, 깍두기, 수수밥","[Dam-A] (뚝)콩불비빔밥, 쇠고기미역국, 난자완스, 양념깻잎지, 포기김치, 요구르트",** 개천절 **,"[Dam-A] 철판제육볶음&파채, 시금치된장국, 메추리알곤약조림, 콩나물무침, 포기김치, 기장밥","[Dam-A] (뚝)순살안동찜닭, 얼큰콩나물국, 동그랑땡전, 오이지무침, 포기김치, 완두콩밥"
"[Pangeos] 바싹불고기샐러드비빔밥, 교자칼국수, 고구마맛탕, 오이지무침, 포기김치, 피크닉","[Pangeos] 슈니첼&레몬&베이비채소, 어묵우동, 후리가케밥, 참치펜네, 할라피뇨&피클, 요구르트",,"[Pangeos] 치즈떡갈비구이*베이비채소, 미트소스스파게티, 크림스프, 김가루밥, 단호박샐러드, 할라피뇨&피클, 요구르트","[Pangeos] 참치김치마요덮밥, 유부국수, 메가크런치, 천사채햄샐러드, 피클&할라피뇨, 레몬에이드"
"[Pangeos] 뚝배기날치알밥, 맑은우동국, 피쉬앤칩스, 산고추지, 깍두기, 미니호빵","[Dam-A] 뚝배기김치콩나물수제비, 제육데리야끼강정, 매운사각어묵볶음, 미역양파초무침, 깍두기, 쌀밥",,"[Dam-A] 뚝배기참치김치찌개, 매운제육강정, 버섯잡채, 브로콜리숙회&초고추장, 포기김치, 수수밥","[Dam-A] (뚝)설렁탕&소면, 온두부*김치볶음, 후랑크소세지볶음, 미역줄기볶음, 깍두기, 쌀밥"
,"[Pangeos] 오므라이스&떡갈비, 잔치국수, 사모사튀김, 미역양파초무침, 포기김치, 사과&요거트푸딩",,"[Pangeos] 순살반반치킨&베이비채소, 야채볶음밥*짜장소스, 유부장국, 마카로니샐러드, 피클&할라피뇨, 새우칩",
